Model,Hidden,Conv1,Conv2,Dense,LR,Patience,R2,RMSE,rRMSE(%),MAE
CNN,,16.0,16.0,64.0,0.001,30,-0.8037935261964144,6.237685243062672,18.889045277627336,5.039639431753276
CNN,,32.0,32.0,64.0,0.001,30,-0.803801069125508,6.237698285123092,18.889084771776236,5.008484487180357
CNN,,8.0,64.0,16.0,0.001,30,-0.8387167864463558,6.297779701014308,19.071024151672862,5.043240517745783
CNN,,32.0,16.0,64.0,0.001,30,-0.852374245551347,6.321125477345863,19.141720156518332,5.109432836618933
CNN,,8.0,16.0,32.0,0.001,20,-0.8542189584685032,6.324272184924852,19.15124906020918,5.033318311589245
CNN,,16.0,32.0,16.0,0.001,20,-0.8679010894292682,6.347562444826429,19.221776949428644,5.076023578643799
CNN,,8.0,64.0,32.0,0.001,30,-0.8689619167270635,6.349364657955184,19.227234436310795,5.081172650733603
CNN,,32.0,64.0,32.0,0.001,20,-0.8727125770816622,6.355732464150844,19.246517515668277,5.097746937363236
CNN,,32.0,16.0,16.0,0.001,20,-0.8762121097316804,6.361668162001256,19.264492078520007,5.100237049683622
BPNN,64.0,,,,0.001,20,-0.8848787875887445,6.376344275913186,19.308934490950225,4.992140693429076
CNN,,16.0,32.0,32.0,0.001,20,-0.9229398803174622,6.4404008331928715,19.502911449330835,5.169264365616159
BPNN,64.0,,,,0.001,30,-0.9261320876102368,6.445744361981614,19.519092797587405,5.066744659172655
CNN,,16.0,16.0,32.0,0.001,20,-0.9343887005704046,6.459544844586591,19.560883611105677,5.216789014054915
CNN,,32.0,32.0,16.0,0.001,20,-0.9363539440270676,6.462825300992705,19.570817534856523,5.182095268626272
CNN,,32.0,64.0,16.0,0.001,20,-0.9390871099157705,6.467384835401958,19.584624780420423,5.205577189049112
CNN,,16.0,64.0,32.0,0.001,20,-0.9710396791666625,6.520452385241522,19.745324673510908,5.293714851018333
CNN,,32.0,16.0,64.0,0.001,20,-0.989380412815956,6.550718891150303,19.83697812799426,5.260225156697717
CNN,,16.0,32.0,16.0,0.001,30,-0.9981320582188875,6.56511197957436,19.88056347870257,5.264816229235488
CNN,,8.0,32.0,64.0,0.001,20,-1.0021699539906201,6.571742136627443,19.90064101257826,5.261933311022848
CNN,,16.0,16.0,16.0,0.001,30,-1.0097502836870529,6.584170879126718,19.9382779036147,5.331047270033094
CNN,,16.0,64.0,16.0,0.001,30,-1.0130018073634854,6.589494907582558,19.95440020069174,5.240457577960481
CNN,,32.0,16.0,32.0,0.001,30,-1.0156407089579544,6.593812671566558,19.9674753136886,5.336897528220597
CNN,,8.0,32.0,16.0,0.001,30,-1.0375456876361517,6.629544988603258,20.07568041351011,5.429851914629524
